unique_id,expect_path,old_compact,new_compact,source_folder
0277__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_complex_basic__0344e7a13a,uxm/tests/all_expected_known/0277__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT400000060000005000000,400000060000002236068,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0225_0277__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_complex_basic__0344e7a13a
0285__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a,uxm/tests/all_expected_known/0285__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT[10][01]memorytape=64,stack=8,data=256,queue=4celldwordmodenormal",[10][01],C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0229_0285__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a
0286__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505,uxm/tests/all_expected_known/0286__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT9000000andabout2660000/2666666dependingn/rounding,90000002680000,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0230_0286__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505
0287__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_probability_random__0cedf8d236,uxm/tests/all_expected_known/0287__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_probability_random__0cedf8d236.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUTdeterministicrandomvalues,allcompile/runsuccess",77693921720350,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0231_0287__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_probability_random__0cedf8d236
0311__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449,uxm/tests/all_expected_known/0311__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT12,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0245_0311__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449
0312__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math05_num_deriv__191a99caff,uxm/tests/all_expected_known/0312__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT10,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0246_0312__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math05_num_deriv__191a99caff
0313__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math06_integral_trap__f9df1f263f,uxm/tests/all_expected_known/0313__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT50,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0247_0313__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math06_integral_trap__f9df1f263f
0314__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math07_integral_simpson__7adae488ba,uxm/tests/all_expected_known/0314__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT72,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0248_0314__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math07_integral_simpson__7adae488ba
0315__s12_STAGE12_tensor_advanced2__uxm_tests_matrix_tmp_det_debug__0ea11514b5,uxm/tests/all_expected_known/0315__s12_STAGE12_tensor_advanced2__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT-2,[12][34]-2,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0249_0315__s12_STAGE12_tensor_advanced2__uxm_tests_matrix_tmp_det_debug__0ea11514b5
0332__s12_STAGE12_tensor_advanced2__uxm_tests_native_test13_status_div_zero__1517d0d659,uxm/tests/all_expected_known/0332__s12_STAGE12_tensor_advanced2__uxm_tests_native_test13_status_div_zero__1517d0d659.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT15,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0261_0332__s12_STAGE12_tensor_advanced2__uxm_tests_native_test13_status_div_zero__1517d0d659
