unique_test_path,unique_expect_path,unique_id,status,class,semantic_key,source_csv
uxm\tests\all_expected_known\0250__s11_STAGE11_tensor_advanced__uxm_tests_native_test34_data_block_clear__6d10b5d36d.uxm,uxm\tests\all_expected_known\0250__s11_STAGE11_tensor_advanced__uxm_tests_native_test34_data_block_clear__6d10b5d36d.expect,uxm_tests_all_expected_known_0250__s11_STAGE11_tensor_advanced__uxm_tests_native_test34_data_block_clear__6d10b5d36d.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test34_data_block_clear,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0251__s11_STAGE11_tensor_advanced__uxm_tests_native_test35_optimizer_visible_result__57396ffe1e.uxm,uxm\tests\all_expected_known\0251__s11_STAGE11_tensor_advanced__uxm_tests_native_test35_optimizer_visible_result__57396ffe1e.expect,uxm_tests_all_expected_known_0251__s11_STAGE11_tensor_advanced__uxm_tests_native_test35_optimizer_visible_result__57396ffe1e.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test35_optimizer_visible_result,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0252__s11_STAGE11_tensor_advanced__uxm_tests_native_test40_4bit_cpu_alu_model__ae78c75f2f.uxm,uxm\tests\all_expected_known\0252__s11_STAGE11_tensor_advanced__uxm_tests_native_test40_4bit_cpu_alu_model__ae78c75f2f.expect,uxm_tests_all_expected_known_0252__s11_STAGE11_tensor_advanced__uxm_tests_native_test40_4bit_cpu_alu_model__ae78c75f2f.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test40_4bit_cpu_alu_model,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0253__s11_STAGE11_tensor_advanced__uxm_tests_native_test41_4_neuron_nn_model__7677e9cfea.uxm,uxm\tests\all_expected_known\0253__s11_STAGE11_tensor_advanced__uxm_tests_native_test41_4_neuron_nn_model__7677e9cfea.expect,uxm_tests_all_expected_known_0253__s11_STAGE11_tensor_advanced__uxm_tests_native_test41_4_neuron_nn_model__7677e9cfea.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test41_4_neuron_nn_model,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0254__s11_STAGE11_tensor_advanced__uxm_tests_native_test42_error_flag_set_reset__ac85ba06fb.uxm,uxm\tests\all_expected_known\0254__s11_STAGE11_tensor_advanced__uxm_tests_native_test42_error_flag_set_reset__ac85ba06fb.expect,uxm_tests_all_expected_known_0254__s11_STAGE11_tensor_advanced__uxm_tests_native_test42_error_flag_set_reset__ac85ba06fb.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test42_error_flag_set_reset,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0255__s11_STAGE11_tensor_advanced__uxm_tests_native_test43_error_macro_helpers__8f6f291619.uxm,uxm\tests\all_expected_known\0255__s11_STAGE11_tensor_advanced__uxm_tests_native_test43_error_macro_helpers__8f6f291619.expect,uxm_tests_all_expected_known_0255__s11_STAGE11_tensor_advanced__uxm_tests_native_test43_error_macro_helpers__8f6f291619.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test43_error_macro_helpers,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0256__s11_STAGE11_tensor_advanced__uxm_tests_native_test44_asin__8ccbbd25d1.uxm,uxm\tests\all_expected_known\0256__s11_STAGE11_tensor_advanced__uxm_tests_native_test44_asin__8ccbbd25d1.expect,uxm_tests_all_expected_known_0256__s11_STAGE11_tensor_advanced__uxm_tests_native_test44_asin__8ccbbd25d1.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test44_asin,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0257__s11_STAGE11_tensor_advanced__uxm_tests_native_test44_meta_version_info__df2490ab11.uxm,uxm\tests\all_expected_known\0257__s11_STAGE11_tensor_advanced__uxm_tests_native_test44_meta_version_info__df2490ab11.expect,uxm_tests_all_expected_known_0257__s11_STAGE11_tensor_advanced__uxm_tests_native_test44_meta_version_info__df2490ab11.uxm,BUILD_OR_RUN_FAIL,LINK_OR_TOOLCHAIN,native_test44_meta_version_info,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0259__s11_STAGE11_tensor_advanced__uxm_tests_native_test45_pointer_meta_extended__62f7d0b3ce.uxm,uxm\tests\all_expected_known\0259__s11_STAGE11_tensor_advanced__uxm_tests_native_test45_pointer_meta_extended__62f7d0b3ce.expect,uxm_tests_all_expected_known_0259__s11_STAGE11_tensor_advanced__uxm_tests_native_test45_pointer_meta_extended__62f7d0b3ce.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test45_pointer_meta_extended,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0499__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_13_tensor4d_flat_logic__948afdf95a.uxm,uxm\tests\all_expected_known\0499__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_13_tensor4d_flat_logic__948afdf95a.expect,uxm_tests_all_expected_known_0499__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_13_tensor4d_flat_logic__948afdf95a.uxm,UYUSMAZ,OUTPUT_MISMATCH,mega_corpus_example_13_tensor4d_flat_logic,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
